kudos_id,week_number,date,giver_id,giver_name,giver_dept,recipient_id,recipient_name,recipient_dept,category,message,giver_points,recipient_points,company
K000001,35,2026-09-04,1000,Michelle Menon,Retail,1097,Jason Patel,Retail,Customer Focus,"Always puts the customer first, even under pressure.",10,15,MM Group
K000002,35,2026-09-01,1000,Michelle Menon,Retail,1381,Siti Ooi,Enterprise,Integrity,Always does the right thing even when no one is watching.,10,15,MM Group
K000003,32,2026-08-14,1001,Pamela Abdullah,Retail,1155,Michelle Patel,Technology,Innovation,Found a smarter way to do something we had been doing wrong for years.,10,15,MM Group
K000004,44,2026-11-02,1001,Pamela Abdullah,Retail,1417,Eugene Kumar,Enterprise,Customer Focus,Went the extra mile for the client and it showed.,10,15,MM Group
K000005,52,2026-12-30,1001,Pamela Abdullah,Retail,1450,Rina Chong,HR,Teamwork,Always steps up to support the team — true team player.,10,15,MM Group
K000006,14,2026-04-08,1002,Cheryl Bakar,Retail,1440,Diana Ibrahim,Finance,Problem Solving,Found the root cause when everyone else was looking at symptoms.,10,15,MM Group
K000007,14,2026-04-10,1002,Cheryl Bakar,Retail,1241,Amelia Aziz,Sales,Going Above and Beyond,Stayed late to make sure the deadline was met — thank you.,10,15,MM Group
K000008,30,2026-07-27,1002,Cheryl Bakar,Retail,1054,Ahmad Ooi,Retail,Leadership,Stepped up without being asked and made a real difference.,10,15,MM Group
K000009,14,2026-04-08,1003,Zara Ali,Retail,1047,Yazid Chong,Retail,Going Above and Beyond,Did far more than was asked and never complained once.,10,15,MM Group
K000010,14,2026-04-09,1003,Zara Ali,Retail,1460,Hafiz Ong,HR,Teamwork,Always steps up to support the team — true team player.,10,15,MM Group
K000011,14,2026-04-08,1003,Zara Ali,Retail,1173,Harish Chong,Technology,Customer Focus,Outstanding customer handling — the feedback was glowing.,10,15,MM Group
K000012,51,2026-12-25,1003,Zara Ali,Retail,1096,Prakash Bakar,Retail,Going Above and Beyond,Exceptional effort this week — the results speak for themselves.,10,15,MM Group
